Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,C,
C2,0805,1,C,
C3,0805,1,100n,
C4,0805,1,100n,
C5,0805,1,100n,
C6,0805,1,10n,
C7,0805,1,4.7u,
C8,0805,1,1u,
"D1, D2, D3",LED_D2.0mm_W4.8mm_H2.5mm_FlatTop,3,LED,
Device,PinHeader_1x06_P2.54mm_Vertical,1,Device_conn,
J3,Molex_200528-0280_1x28-1MP_P1.00mm_Horizontal,1,Conn_01x28,
PROG,PinSocket_1x06_P1.27mm_Vertical,1,Prog,
R1,0805,1,R,
R2,0805,1,R,
R3,0805,1,R,
R4,0805,1,R,
R5,0805,1,R,
RESET,SW_PUSH_6mm_H9.5mm,1,RESET,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F051C8Tx,
Y1,Crystal_HC18-U_Vertical,1,Crystal,
